pauthor,ptitle,pyear,pid,pkey,journal,journalfull,booktitle,booktitlefull,journal_abbreviation,ptype
jorge semião|juan j. rodríguez-andina|fabian vargas|marcelino bicho dos santos|isabel c. teixeira|joão paulo teixeira,improving the tolerance of pipeline based circuits to power supply or temperature variations.,2007,180843,conf/dft/SemiaoRVSTT07,,,dft,dft,,inproceedings
patrice caire,a normative multi-agent systems approach to the use of conviviality for digital cities.,2007,162991,conf/dagstuhl/Caire07,,,normative multi agent systems,european grid conference,,inproceedings
sundeep b|andrew thangaraj,self-orthogonality of q-ary images of qm-ary codes and quantum code construction.,2007,2261406,journals/tit/BT07,ieee transactions on information theory,international journal of ambient computing and intelligence (ijaci),wimob,acm symposium on parallel algorithms and architectures,ijaci,article
gerardo pardo-castellote,omg data-distribution service: architectural overview.,2003,349720,conf/icdcsw/Pardo-Castellote03,,,icdcs workshops,international agent technology conference,monet,inproceedings
ki-hoon lee|kyu-young whang|wook-shin han|min-soo kim 0002,structural consistency: enabling xml keyword search to eliminate spurious results consistently,2009,1922328,journals/corr/abs-0911-4329,corr,international journal of wireless information networks,,,,article
bin liu|david j. hill|kok lay teo,input-to-state stability for a class of hybrid dynamical systems via hybrid time approach.,2009,883711,conf/cdc/LiuHT09,,,,,,inproceedings
haiwei sun|ning kang|jun zhang|eric s. carlson,a fourth-order compact difference scheme on face centered cubic grids with multigrid method for solving 2d convection diffusion equation.,2003,2324621,journals/mcs/SunKZC03,mathematics and computers in simulation,international transactions on systems science and applications,,,,article
sang-heon lee|nam-sung kim|heau-jo kang|soon-gohn kim,performance improvement of intelligent uwb-ir communication system in multipath channel.,2006,366780,conf/icic/LeeKKK06,,,,,,article
eugene pamba capo-chichi|hervé guyennet|jean-michel friedt,ieee 802.15.4 performance on a hierarchical hybrid sensor network platform.,2009,794722,conf/icns/Capo-ChichiGF09,,,icns,asia pacific web conference,ijbra,inproceedings
feng wang|michael j. hannafin,scaffolding preservice teachers' webquest design: a qualitative study.,2009,2339884,journals/jche/WangH09,j. computing in higher education,journal of computers,,,ijhpcn,article
matthias bröcheler|andrea pugliese|v. s. subrahmanian,dogma: a disk-oriented graph matching algorithm for rdf databases.,2009,684295,conf/semweb/BrochelerPS09,,,patmos,autonomous agents and multi agent systems,,inproceedings
germán montoro|pablo a. haya|xavier alamán,a dynamic spoken dialogue interface for ambient intelligence interaction.,2010,2407004,journals/ijaci/MontoroHA10,ijaci,international journal of manufacturing research (ijmr),,,ijamc,article
stefano maranò|vincenzo matta|peter willett,distributed estimation in large wireless sensor networks via a locally optimum approach.,2008,2350269,journals/tsp/MaranoMW08,ieee transactions on signal processing,journal of advanced computational intelligence and intelligent informatics (jaciii),,,toct,article
minghui jiang|brendan mumey|zhongping qin|andrew tomascak|binhai zhu,approximations for two decomposition-based geometric optimization problems.,2004,341121,conf/iccsa/JiangMQTZ04,,,,,,inproceedings
d. gonçalves,on vertex partitions and the colin de verdière parameter.,2007,2379530,journals/endm/Goncalves07,electronic notes in discrete mathematics,journal of networks,,,ijmr,inproceedings
abraham flaxman|aram wettroth harrow|gregory b. sorkin,strings with maximally many distinct subsequences and substrings.,2004,1885681,journals/combinatorics/FlaxmanHS04,electr. j. comb.,proceedings of the vldb endowment,waw,siam international conference on data mining,jaciii,article
ludovic denoyer|patrick gallinari,modèles d'ordonnancement pour l'annotation automatique d'images dans les réseaux sociaux.,2010,137175,conf/coria/DenoyerG10,,,coria,international conference on computer aided design,ijprai,inproceedings
feng wang 0004|yuan xie,embedded multi-processor system-on-chip (mpsoc) design considering process variations.,2008,485277,conf/ipps/WangX08,,,ipdps,international conference on interaction sciences,,inproceedings
daniel cascado caballero|josé luis sevillano|saturnino vicente|fernando díaz del río|gabriel jiménez|alejandro linares-barranco|antón civit balcells,performance analysis of single-slave bluetooth piconets under cochannel interference.,2004,879807,conf/pimrc/CaballeroSVRJLB04,,,pimrc,int. conf. on data mining,ijwgs,article
sunitha ramanujam|anubha gupta|latifur khan|steven seida|bhavani m. thuraisingham,r2d: extracting relational structure from rdf stores.,2009,767281,conf/webi/RamanujamGKST09,,,,,,phdthesis
robert d. stevens|alan j. robinson|carole a. goble,mygrid: personalised bioinformatics on the information grid.,2003,514809,conf/ismb/StevensRG03,,,icsnw,workshop on wireless mobile multimedia,,inproceedings
jin-ho kim|young-chul kim|han-yang you|june kim|sooho ok,design and implementation of a real-time static locking protocol for main-memory database systems.,2004,32417,conf/advis/KimKYKO04,,,advis,international joint conference on artificial intelligence,ijiids,inproceedings
somna mishra|v. k. katiyar|v. arora,mathematical modeling of chemotherapy strategies in vascular tumor growth using nanoparticles.,2007,2306172,journals/amc/MishraKA07,applied mathematics and computation,international journal on document analysis and recognition (ijdar),,,tplp,inproceedings
stefano brugioni|dong uk hwang|riccardo meucci|stefano boccaletti,coherence resonance in a fitzhugh-nagumo electronic system.,2007,2382759,journals/ijbc/BrugioniHMB07,i. j. bifurcation and chaos,international journal on software tools for technology transfer (sttt),,,,article
yongxin zhu|weng-fai wong|stefan andrei,an integrated performance and power model for superscalar processor designs.,2005,61998,conf/aspdac/ZhuWA05,,,asp dac,datenbanksysteme in buro,ijsnet,inproceedings
pallavi tadepalli|h. conrad cunningham,javachime: java class hierarchy inspector and method executer.,2004,7300,conf/ACMse/TadepalliC04,,,acm southeast regional conference,international workshop on business driven it management,,inproceedings
sheraz naseer|muhammad younus|attiq ahmed,vulnerabilities exposing ieee 802.16e networks to dos attacks: a survey.,2008,714460,conf/snpd/NaseerYA08,,,snpd,world wide web,tap,inproceedings
yoav nebat|moshe sidi,parallel downloads for streaming applications - a resequencing analysis.,2006,2178312,journals/pe/NebatS06,perform. eval.,international journal of metadata,,,ijdar,article
danny hughes|james walkerdine|kevin lee,the effect of viral media on business usage of p2p.,2007,616200,conf/p2p/HughesWL07,,,peer to peer computing,international symposium on bioinformatics research and applications,,inproceedings
matthias fuchs|christoph borst|paolo robuffo giordano|andreas baumann|erich krämer|jörg langwald|robin gruber|nikolaus seitz|georg plank|klaus kunze|robert burger|florian schmidt|thomas wimböck|gerd hirzinger,rollin' justin - design considerations and realization of a mobile platform for a humanoid upper body.,2009,423660,conf/icra/FuchsBGBKLGSPKBSWH09,,,,,jasist,inproceedings
jiqiang lv,on two des implementations secure against differential power analysis in smart-cards.,2006,2001624,journals/iandc/Lv06,inf. comput.,journal of object oriented programming (joop),,,,article
yanbing li|wayne wolf,hardware/software co-synthesis with memory hierarchies.,1998,331837,conf/iccad/LiW98,,,iccad,agile development conference,sttt,inproceedings
p. f. lai|j. h. fang|f. tsay,waveform correlation using relational tree (abstract).,1986,26127,conf/acm/LaiFT86,,,acm conference on computer science,international conference on quality software,ijmtm,inproceedings
gordon graham|ivelina gueorguieva|kelly dickens,"a program for the optimum design of pharmacokinetic, pharmacodynamic, drug metabolism and drug-drug interaction models.",2005,2333065,journals/cmpb/GrahamGD05,computer methods and programs in biomedicine,4or: quarterly journal of the belgian,,,,article
jens müller,supporting change in business process models using pattern-based constraints.,2009,88387,conf/caise/Muller09,,,bmmds/emmsad,modeling,ijac,inproceedings
franz j. winkler|boris lohmann,flachheitsbasierte steuerung und beobachtung von transportprozessen mit verteiltem eingriff (flatness-based control and observer design for transport processes with distributed control).,2009,2402203,journals/at/WinklerL09,automatisierungstechnik,international journal of electronic business (ijeb),,,,inproceedings
mohd. zeeshan ansari|gitanjali yadav|rajesh s. gokhale|debasisa mohanty,nrps-pks: a knowledge-based resource for analysis of nrps/pks megasynthases.,2004,2156238,journals/nar/AnsariYGM04,nucleic acids research,international journal of ad hoc and ubiquitous computing (ijahuc),,,,article
roberto sacile|ernesto montaldo|massimo paolucci 0002|antonio boccalatte,intelligent agents applied to manufacturing: the make-it approach.,2000,778642,conf/woa/SacileMPB00,,,woa,international conference on distributed computing systems,joop,phdthesis
alex aussem,sufficient conditions for error backflow convergence in dynamical recurrent neural networks.,2002,2161801,journals/neco/Aussem02,,,,,,article
yu long|zhenfu cao|kefei chen,a dynamic threshold commercial key escrow scheme based on conic.,2005,2304288,journals/amc/LongCC05,applied mathematics and computation,international journal on document analysis and recognition (ijdar),,,,article
zhi-zhong chen|yong gao|guohui lin|robert niewiadomski|yang wang 0006|junfeng wu,a space-efficient algorithm for sequence alignment with inversions and reversals.,2004,2239416,journals/tcs/ChenGLNWW04,theor. comput. sci.,acm transactions on computation theory (toct),asiaccs,genetic and evolutionary computation conference,,inproceedings
lusheng chen|wei wang 0004|shaoping ling|caiyan jia|fei wang,kemadom: a web server for domain prediction using kernel machine with local context.,2006,2159272,journals/nar/ChenWLJW06,nucleic acids research,international journal of ad hoc and ubiquitous computing (ijahuc),,,,inproceedings
jae-young kim|james won-ki hong,monitoring edge-to-edge traffic aggregates in differentiated services networks.,2001,2117362,journals/jnsm/KimH01,j. network syst. manage.,journal of theoretical and applied electronic commerce research,,,ijitm,inproceedings
matthew s. eastin|robert larose,internet self-efficacy and the psychology of the digital divide.,2000,2097875,journals/jcmc/EastinL00,j. computer mediated communication,international journal of high performance computing applications,,,ijeb,article
abdelhamid mellouk|mustapha guezouri,a new methodology to adapt sip protocol for voice traffic transported over ip network.,2006,38211,conf/aict/MelloukG06,,,aict/iciw,parallel architectures and languages europe,,inproceedings
ming-yang kao|tak wah lam|wing-kin sung|hing-fung ting,unbalanced and hierarchical bipartite matchings with applications to labeled tree comparison.,2000,489355,conf/isaac/KaoLST00,,,isaac,simulation und visualisierung,ijahuc,inproceedings
rubén cuevas rumín|eva jaho|carmen guerrero|ioannis stavrakakis,onmove: a protocol for content distribution in wireless delay tolerant networks based on social information.,2008,844018,conf/conext/RuminJGS08,,,conext,software engineering and data engineering,,inproceedings
andreas birk,tutorium: effektives testmanagement - vom notwendigen übel zum erfolgsfaktor für it und geschäftserfolg.,2008,774779,conf/wimaw/Birk08a,,,industrialisierung des software management,international conference on data engineering,ijiscm,inproceedings
gaspar s. dias|josé luís oliveira|javier vicente|fernando martín-sánchez,integrating medical and genomic data: a sucessful example for rare diseases.,2006,886649,conf/mie/DiasOVM06,,,mie,advanced video and signal based surveillance,,inproceedings
daniel schmidt 0004|martin proetzsch|karsten berns,simulation and control of an autonomous bucket excavator for landscaping tasks.,2010,424231,conf/icra/SchmidtPB10,,,icra,computer algebra in scientific computing,,inproceedings
