pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
jorge semião|juan j. rodríguez-andina|fabian vargas|marcelino bicho dos santos|isabel c. teixeira|joão paulo teixeira,,improving the tolerance of pipeline based circuits to power supply or temperature variations.,2007,,,,180843,conf/dft/SemiaoRVSTT07,1,0,4,0,0,1
patrice caire,,a normative multi-agent systems approach to the use of conviviality for digital cities.,2007,,,,162991,conf/dagstuhl/Caire07,1,0,7,0,7,1
sundeep b|andrew thangaraj,,self-orthogonality of q-ary images of qm-ary codes and quantum code construction.,2007,,,,2261406,journals/tit/BT07,3,2,9,2,9,1
gerardo pardo-castellote,,omg data-distribution service: architectural overview.,2003,,,,349720,conf/icdcsw/Pardo-Castellote03,1,0,11,0,11,1
ki-hoon lee|kyu-young whang|wook-shin han|min-soo kim 0002,,structural consistency: enabling xml keyword search to eliminate spurious results consistently,2009,,,,1922328,journals/corr/abs-0911-4329,3,5,5,5,5,1
bin liu|david j. hill|kok lay teo,,input-to-state stability for a class of hybrid dynamical systems via hybrid time approach.,2009,,,,883711,conf/cdc/LiuHT09,1,0,5,0,5,1
haiwei sun|ning kang|jun zhang|eric s. carlson,,a fourth-order compact difference scheme on face centered cubic grids with multigrid method for solving 2d convection diffusion equation.,2003,,,,2324621,journals/mcs/SunKZC03,3,6,5,6,5,1
sang-heon lee|nam-sung kim|heau-jo kang|soon-gohn kim,,performance improvement of intelligent uwb-ir communication system in multipath channel.,2006,,,,366780,conf/icic/LeeKKK06,3,0,5,0,0,1
eugene pamba capo-chichi|hervé guyennet|jean-michel friedt,,ieee 802.15.4 performance on a hierarchical hybrid sensor network platform.,2009,,,,794722,conf/icns/Capo-ChichiGF09,1,0,15,0,15,1
feng wang|michael j. hannafin,,scaffolding preservice teachers' webquest design: a qualitative study.,2009,,,,2339884,journals/jche/WangH09,3,10,5,10,5,1
matthias bröcheler|andrea pugliese|v. s. subrahmanian,,dogma: a disk-oriented graph matching algorithm for rdf databases.,2009,,,,684295,conf/semweb/BrochelerPS09,1,0,18,0,18,1
germán montoro|pablo a. haya|xavier alamán,,a dynamic spoken dialogue interface for ambient intelligence interaction.,2010,,,,2407004,journals/ijaci/MontoroHA10,3,14,5,14,5,1
stefano maranò|vincenzo matta|peter willett,,distributed estimation in large wireless sensor networks via a locally optimum approach.,2008,,,,2350269,journals/tsp/MaranoMW08,3,15,5,15,5,1
minghui jiang|brendan mumey|zhongping qin|andrew tomascak|binhai zhu,,approximations for two decomposition-based geometric optimization problems.,2004,,,,341121,conf/iccsa/JiangMQTZ04,1,0,5,0,5,1
d. gonçalves,,on vertex partitions and the colin de verdière parameter.,2007,,,,2379530,journals/endm/Goncalves07,1,19,5,19,0,1
abraham flaxman|aram wettroth harrow|gregory b. sorkin,,strings with maximally many distinct subsequences and substrings.,2004,,,,1885681,journals/combinatorics/FlaxmanHS04,3,20,27,20,27,1
ludovic denoyer|patrick gallinari,,modèles d'ordonnancement pour l'annotation automatique d'images dans les réseaux sociaux.,2010,,,,137175,conf/coria/DenoyerG10,1,0,28,0,28,1
feng wang 0004|yuan xie,,embedded multi-processor system-on-chip (mpsoc) design considering process variations.,2008,,,,485277,conf/ipps/WangX08,1,0,29,0,29,1
daniel cascado caballero|josé luis sevillano|saturnino vicente|fernando díaz del río|gabriel jiménez|alejandro linares-barranco|antón civit balcells,,performance analysis of single-slave bluetooth piconets under cochannel interference.,2004,,,,879807,conf/pimrc/CaballeroSVRJLB04,3,0,30,0,30,1
sunitha ramanujam|anubha gupta|latifur khan|steven seida|bhavani m. thuraisingham,,r2d: extracting relational structure from rdf stores.,2009,,,,767281,conf/webi/RamanujamGKST09,4,0,5,0,5,1
robert d. stevens|alan j. robinson|carole a. goble,,mygrid: personalised bioinformatics on the information grid.,2003,,,,514809,conf/ismb/StevensRG03,1,0,32,0,32,1
jin-ho kim|young-chul kim|han-yang you|june kim|sooho ok,,design and implementation of a real-time static locking protocol for main-memory database systems.,2004,,,,32417,conf/advis/KimKYKO04,1,0,36,0,36,1
