Unnamed: 0,key1,key2,label,partition_x,pauthor_1,ptitle_1,pyear_1,pid_1,pkey_1,ptype_id_1,pjournal_id_1,pbooktitle_id_1,pjournalfull_id_1,pbooktitlefull_id_1,partition_y,pauthor_2,ptitle_2,pyear_2,pid_2,pkey_2,ptype_id_2,pjournal_id_2,pbooktitle_id_2,pjournalfull_id_2,pbooktitlefull_id_2,partition,title_sim,author_jaccard,year_diff,same_journal,same_booktitle,same_ptype,first_author_match,title_len_diff,shared_title_words,same_year,author_count_1,author_count_2,author_count_diff,title_jaccard
0,conf/prib/AhmedF07,journals/jcc/PatraS09,False,7,said hassan ahmed|tor flå,estimation of evolutionary average hydrophobicity profile from a family of protein sequences.,2007,793190,conf/prib/AhmedF07,3,0,5,0,0,4,jagdish chandra patra|onkar singh,artificial neural networks-based approach to design aris using qsar for diabetes mellitus.,2009,2093393,journals/jcc/PatraS09,3,7,5,7,0,1,0.0,0.0,2,0,1,1,0,3,0,0,2,2,0,0.0
1,conf/vlsid/ChenCC95,journals/tcad/LuoCWCCW08,True,4,yung-yuan chen|ching-hwa cheng|jwu-e chen,an efficient switching network fault diagnosis for reconfigurable vlsi/wsi array processors.,1995,754984,conf/vlsid/ChenCC95,3,0,1,0,1,2,pei-wen luo|jwu-e chen|chin-long wey|liang-chia cheng|ji-jan chen|wen-ching wu,impact of capacitance correlation on yield enhancement of mixed-signal/analog integrated circuits.,2008,2235193,journals/tcad/LuoCWCCW08,3,220,5,220,5,1,0.0,0.125,13,0,0,1,0,6,0,0,3,6,3,0.0
2,conf/prozess/Sun88,conf/isnn/SunZLCS07,True,8,anwendung graphischer darstellungen im rahmen einer spezifikationssprache für das requirements engineering.,z. sun,1988,648625,conf/prozess/Sun88,1,0,2,0,2,2,z. sun|m. j. zhang|xiao h. liao|wenchuan cai|yongduan song,neuro-adaptive formation control of multi-mobile vehicles: virtual leader based path planning and tracking.,2007,519844,conf/isnn/SunZLCS07,1,0,436,0,436,3,0.0,0.0,19,1,0,1,0,101,0,0,1,5,4,0.0
3,conf/pricai/BeaumontTSM04,conf/icip/SattarAS08,False,5,matthew beaumont|john thornton|abdul sattar|michael j. maher,solving over-constrained temporal reasoning problems using local search.,2004,645750,conf/pricai/BeaumontTSM04,1,0,3,0,3,2,abdul sattar 0003|yasser aidarous|renaud séguier,gagm-aam: a genetic optimization with gaussian mixtures for active appearance models.,2008,380526,conf/icip/SattarAS08,1,0,365,0,365,4,0.0,0.0,4,1,0,1,0,13,0,0,4,3,1,0.0
4,conf/dft/SemiaoRVSTT07,conf/iolts/Rodriguez-IragoAVSTT05,True,7,jorge semião|juan j. rodríguez-andina|fabian vargas|marcelino bicho dos santos|isabel c. teixeira|joão paulo teixeira,improving the tolerance of pipeline based circuits to power supply or temperature variations.,2007,180843,conf/dft/SemiaoRVSTT07,1,0,4,0,0,1,marcial jesús rodríguez-irago|juan j. rodríguez-andina|fabian vargas|marcelino b. santos|isabel c. teixeira|joão paulo teixeira,dynamic fault test and diagnosis in digital systems using multiple clock schemes and multi-vdd test.,2005,478836,conf/iolts/Rodriguez-IragoAVSTT05,1,0,611,0,611,4,0.0,0.5,2,1,0,1,0,7,0,0,6,6,0,0.0
6,conf/lmo/DemphlousL96,conf/reflection/DemphlousL99,True,3,stéphane demphlous|franck lebastard,intégration de langages et de bases de données à objets : une approche par les méta-objets.,1996,810901,conf/lmo/DemphlousL96,1,0,6,0,6,3,stéphane demphlous|franck lebastard,designing persistence libraries with intercession property for a client-server environment.,1999,655049,conf/reflection/DemphlousL99,1,0,2162,0,2162,1,0.0,1.0,3,1,0,1,1,0,0,0,2,2,0,0.0
7,conf/dagstuhl/Caire07,conf/iros/LeeATIHO08,False,7,patrice caire,a normative multi-agent systems approach to the use of conviviality for digital cities.,2007,162991,conf/dagstuhl/Caire07,1,0,7,0,7,1,jae hoon lee|kenji abe|takashi tsubouchi|ryoko ichinose|yuji hosoda|kohtaro ohba,collision-free navigation based on people tracking algorithm with biped walking model.,2008,858747,conf/iros/LeeATIHO08,1,0,248,0,248,4,0.0,0.0,1,1,0,1,0,1,0,0,1,6,5,0.0
8,conf/eh/ZhaoJZW05,journals/mj/CaoCRJZLSZ09,True,8,shuguang zhao|licheng jiao|jianxun zhao|yuping wang,evolutionary design of analog circuits with a uniform-design based multi-objective adaptive genetic algorithm.,2005,210834,conf/eh/ZhaoJZW05,1,0,8,0,8,3,kun cao|zhanguo chen|ce ren|gang jia|tiechen zhang|xiuhuan liu|bao shi|jianxun zhao,measurement of second-order nonlinear optical susceptibility of cbn crystal synthesized at high pressure and high temperature.,2009,2320009,journals/mj/CaoCRJZLSZ09,3,191,5,191,5,2,0.0,0.09090909090909091,4,0,0,0,0,16,1,0,4,8,4,0.038461538461538464
9,conf/ifip5-5/MulderM04,journals/neco/GiulioniPBDG09,False,5,wico mulder|geleyn r. meijer,squads: software development and maintenance on the grid by means of mobile virtual organizations using adaptive information services.,2004,449976,conf/ifip5-5/MulderM04,1,0,5,0,5,2,massimiliano giulioni|mario pannunzi|davide badoni|vittorio dante|paolo del giudice,classification of correlated patterns with a configurable analog vlsi neural network of spiking neurons and self-regulating plastic synapses.,2009,2163413,journals/neco/GiulioniPBDG09,3,246,5,246,5,2,0.0,0.0,5,0,1,0,0,7,2,0,2,5,3,0.06060606060606061
10,journals/tit/BT07,conf/wimob/PhrompichaiY09,False,4,sundeep b|andrew thangaraj,self-orthogonality of q-ary images of qm-ary codes and quantum code construction.,2007,2261406,journals/tit/BT07,3,2,9,2,9,1,samphan phrompichai|peerapol yuvapoositanon,a time-reversal space-time chip semiblind receiver for tr-stbc downlink mimo mc-cdma systems.,2009,869465,conf/wimob/PhrompichaiY09,3,0,9,0,9,3,0.0,0.0,2,0,1,1,0,12,0,0,2,2,0,0.0
